# Syntax Colouring Map For ADG2188

# Data types (KEYWORD1)
ADG2188	KEYWORD1


# Methods and Functions (KEYWORD2)
begin	KEYWORD2
isConnected	KEYWORD2
getAddress	KEYWORD2

on	KEYWORD2
off	KEYWORD2
isOn	KEYWORD2

isOnRow	KEYWORD2
isOnColumn	KEYWORD2

setDirectMode	KEYWORD2
setLatchMode	KEYWORD2
isLatchedMode	KEYWORD2
isDirectMode	KEYWORD2

setResetPin	KEYWORD2
pulseResetPin	KEYWORD2

getLastError	KEYWORD2


# Constants (LITERAL1)
ADG2188_LIB_VERSION	LITERAL1

ADG2188_DEFAULT_ADDRESS	LITERAL1

ADG2188_OK	LITERAL1
ADG2188_CRC_ERROR	LITERAL1
ADG2188_NOT_READY	LITERAL1
ADG2188_REQUEST_ERROR	LITERAL1
